Meses;-3SD;-2SD;-1SD;0SD;1SD;2SD;3SD;Masculino
0;2.1;2.5;2.9;3.3;3.9;4.4;5;M
1;2.9;3.4;3.9;4.5;5.1;5.8;6.6;M
2;3.8;4.3;4.9;5.6;6.3;7.1;8;M
3;4.4;5;5.7;6.4;7.2;8;9;M
4;4.9;5.6;6.2;7;7.8;8.7;9.7;M
5;5.3;6;6.7;7.5;8.4;9.3;10.4;M
6;5.7;6.4;7.1;7.9;8.8;9.8;10.9;M
7;5.9;6.7;7.4;8.3;9.2;10.3;11.4;M
8;6.2;6.9;7.7;8.6;9.6;10.7;11.9;M
9;6.4;7.1;8;8.9;9.9;11;12.3;M
10;6.6;7.4;8.2;9.2;10.2;11.4;12.7;M
11;6.8;7.6;8.4;9.4;10.5;11.7;13;M
12;6.9;7.7;8.6;9.6;10.8;12;13.3;M
13;7.1;7.9;8.8;9.9;11;12.3;13.7;M
14;7.2;8.1;9;10.1;11.3;12.6;14;M
15;7.4;8.3;9.2;10.3;11.5;12.8;14.3;M
16;7.5;8.4;9.4;10.5;11.7;13.1;14.6;M
17;7.7;8.6;9.6;10.7;12;13.4;14.9;M
18;7.8;8.8;9.8;10.9;12.2;13.7;15.3;M
19;8;8.9;10;11.1;12.5;13.9;15.6;M
20;8.1;9.1;10.1;11.3;12.7;14.2;15.9;M
21;8.2;9.2;10.3;11.5;12.9;14.5;16.2;M
22;8.4;9.4;10.5;11.8;13.2;14.7;16.5;M
23;8.5;9.5;10.7;12;13.4;15;16.8;M
24;8.6;9.7;10.8;12.2;13.6;15.3;17.1;M
25;8.8;9.8;11;12.4;13.9;15.5;17.5;M
26;8.9;10;11.2;12.5;14.1;15.8;17.8;M
27;9;10.1;11.3;12.7;14.3;16.1;18.1;M
28;9.1;10.2;11.5;12.9;14.5;16.3;18.4;M
29;9.2;10.4;11.7;13.1;14.8;16.6;18.7;M
30;9.4;10.5;11.8;13.3;15;16.9;19;M
31;9.5;10.7;12;13.5;15.2;17.1;19.3;M
32;9.6;10.8;12.1;13.7;15.4;17.4;19.6;M
33;9.7;10.9;12.3;13.8;15.6;17.6;19.9;M
34;9.8;11;12.4;14;15.8;17.8;20.2;M
35;9.9;11.2;12.6;14.2;16;18.1;20.4;M
36;10;11.3;12.7;14.3;16.2;18.3;20.7;M
37;10.1;11.4;12.9;14.5;16.4;18.6;21;M
38;10.2;11.5;13;14.7;16.6;18.8;21.3;M
39;10.3;11.6;13.1;14.8;16.8;19;21.6;M
40;10.4;11.8;13.3;15;17;19.3;21.9;M
41;10.5;11.9;13.4;15.2;17.2;19.5;22.1;M
42;10.6;12;13.6;15.3;17.4;19.7;22.4;M
43;10.7;12.1;13.7;15.5;17.6;20;22.7;M
44;10.8;12.2;13.8;15.7;17.8;20.2;23;M
45;10.9;12.4;14;15.8;18;20.5;23.3;M
46;11;12.5;14.1;16;18.2;20.7;23.6;M
47;11.1;12.6;14.3;16.2;18.4;20.9;23.9;M
48;11.2;12.7;14.4;16.3;18.6;21.2;24.2;M
49;11.3;12.8;14.5;16.5;18.8;21.4;24.5;M
50;11.4;12.9;14.7;16.7;19;21.7;24.8;M
51;11.5;13.1;14.8;16.8;19.2;21.9;25.1;M
52;11.6;13.2;15;17;19.4;22.2;25.4;M
53;11.7;13.3;15.1;17.2;19.6;22.4;25.7;M
54;11.8;13.4;15.2;17.3;19.8;22.7;26;M
55;11.9;13.5;15.4;17.5;20;22.9;26.3;M
56;12;13.6;15.5;17.7;20.2;23.2;26.6;M
57;12.1;13.7;15.6;17.8;20.4;23.4;26.9;M
58;12.2;13.8;15.8;18;20.6;23.7;27.2;M
59;12.3;14;15.9;18.2;20.8;23.9;27.6;M
60;12.4;14.1;16;18.3;21;24.2;27.9;M
