cm;-3SD;-2SD;-1SD;0SD;1SD;2SD;3SD;Femenino
65;5.6;6.1;6.6;7.2;7.9;8.7;9.7;F
65.5;5.7;6.2;6.7;7.4;8.1;8.9;9.8;F
66;5.8;6.3;6.8;7.5;8.2;9;10;F
66.5;5.8;6.4;6.9;7.6;8.3;9.1;10.1;F
67;5.9;6.4;7;7.7;8.4;9.3;10.2;F
67.5;6;6.5;7.1;7.8;8.5;9.4;10.4;F
68;6.1;6.6;7.2;7.9;8.7;9.5;10.5;F
68.5;6.2;6.7;7.3;8;8.8;9.7;10.7;F
69;6.3;6.8;7.4;8.1;8.9;9.8;10.8;F
69.5;6.3;6.9;7.5;8.2;9;9.9;10.9;F
70;6.4;7;7.6;8.3;9.1;10;11.1;F
70.5;6.5;7.1;7.7;8.4;9.2;10.1;11.2;F
71;6.6;7.1;7.8;8.5;9.3;10.3;11.3;F
71.5;6.7;7.2;7.9;8.6;9.4;10.4;11.5;F
72;6.7;7.3;8;8.7;9.5;10.5;11.6;F
72.5;6.8;7.4;8.1;8.8;9.7;10.6;11.7;F
73;6.9;7.5;8.1;8.9;9.8;10.7;11.8;F
73.5;7;7.6;8.2;9;9.9;10.8;12;F
74;7;7.6;8.3;9.1;10;11;12.1;F
74.5;7.1;7.7;8.4;9.2;10.1;11.1;12.2;F
75;7.2;7.8;8.5;9.3;10.2;11.2;12.3;F
75.5;7.2;7.9;8.6;9.4;10.3;11.3;12.5;F
76;7.3;8;8.7;9.5;10.4;11.4;12.6;F
76.5;7.4;8;8.7;9.6;10.5;11.5;12.7;F
77;7.5;8.1;8.8;9.6;10.6;11.6;12.8;F
77.5;7.5;8.2;8.9;9.7;10.7;11.7;12.9;F
78;7.6;8.3;9;9.8;10.8;11.8;13.1;F
78.5;7.7;8.4;9.1;9.9;10.9;12;13.2;F
79;7.8;8.4;9.2;10;11;12.1;13.3;F
79.5;7.8;8.5;9.3;10.1;11.1;12.2;13.4;F
80;7.9;8.6;9.4;10.2;11.2;12.3;13.6;F
80.5;8;8.7;9.5;10.3;11.3;12.4;13.7;F
81;8.1;8.8;9.6;10.4;11.4;12.6;13.9;F
81.5;8.2;8.9;9.7;10.6;11.6;12.7;14;F
