cm;-3SD;-2SD;-1SD;0SD;1SD;2SD;3SD;Masculino
45;1.9;2;2.2;2.4;2.7;3;3.3;M
45.5;1.9;2.1;2.3;2.5;2.8;3.1;3.4;M
46;2;2.2;2.4;2.6;2.9;3.1;3.5;M
46.5;2.1;2.3;2.5;2.7;3;3.2;3.6;M
47;2.1;2.3;2.5;2.8;3;3.3;3.7;M
47.5;2.2;2.4;2.6;2.9;3.1;3.4;3.8;M
48;2.3;2.5;2.7;2.9;3.2;3.6;3.9;M
48.5;2.3;2.6;2.8;3;3.3;3.7;4;M
49;2.4;2.6;2.9;3.1;3.4;3.8;4.2;M
49.5;2.5;2.7;3;3.2;3.5;3.9;4.3;M
50;2.6;2.8;3;3.3;3.6;4;4.4;M
50.5;2.7;2.9;3.1;3.4;3.8;4.1;4.5;M
51;2.7;3;3.2;3.5;3.9;4.2;4.7;M
51.5;2.8;3.1;3.3;3.6;4;4.4;4.8;M
52;2.9;3.2;3.5;3.8;4.1;4.5;5;M
52.5;3;3.3;3.6;3.9;4.2;4.6;5.1;M
53;3.1;3.4;3.7;4;4.4;4.8;5.3;M
53.5;3.2;3.5;3.8;4.1;4.5;4.9;5.4;M
54;3.3;3.6;3.9;4.3;4.7;5.1;5.6;M
54.5;3.4;3.7;4;4.4;4.8;5.3;5.8;M
55;3.6;3.8;4.2;4.5;5;5.4;6;M
55.5;3.7;4;4.3;4.7;5.1;5.6;6.1;M
56;3.8;4.1;4.4;4.8;5.3;5.8;6.3;M
56.5;3.9;4.2;4.6;5;5.4;5.9;6.5;M
57;4;4.3;4.7;5.1;5.6;6.1;6.7;M
57.5;4.1;4.5;4.9;5.3;5.7;6.3;6.9;M
58;4.3;4.6;5;5.4;5.9;6.4;7.1;M
58.5;4.4;4.7;5.1;5.6;6.1;6.6;7.2;M
59;4.5;4.8;5.3;5.7;6.2;6.8;7.4;M
59.5;4.6;5;5.4;5.9;6.4;7;7.6;M
60;4.7;5.1;5.5;6;6.5;7.1;7.8;M
60.5;4.8;5.2;5.6;6.1;6.7;7.3;8;M
61;4.9;5.3;5.8;6.3;6.8;7.4;8.1;M
61.5;5;5.4;5.9;6.4;7;7.6;8.3;M
62;5.1;5.6;6;6.5;7.1;7.7;8.5;M
62.5;5.2;5.7;6.1;6.7;7.2;7.9;8.6;M
63;5.3;5.8;6.2;6.8;7.4;8;8.8;M
63.5;5.4;5.9;6.4;6.9;7.5;8.2;8.9;M
64;5.5;6;6.5;7;7.6;8.3;9.1;M
64.5;5.6;6.1;6.6;7.1;7.8;8.5;9.3;M
65;5.7;6.2;6.7;7.3;7.9;8.6;9.4;M
65.5;5.8;6.3;6.8;7.4;8;8.7;9.6;M
66;5.9;6.4;6.9;7.5;8.2;8.9;9.7;M
66.5;6;6.5;7;7.6;8.3;9;9.9;M
67;6.1;6.6;7.1;7.7;8.4;9.2;10;M
67.5;6.2;6.7;7.2;7.9;8.5;9.3;10.2;M
68;6.3;6.8;7.3;8;8.7;9.4;10.3;M
68.5;6.4;6.9;7.5;8.1;8.8;9.6;10.5;M
69;6.5;7;7.6;8.2;8.9;9.7;10.6;M
69.5;6.6;7.1;7.7;8.3;9;9.8;10.8;M
70;6.6;7.2;7.8;8.4;9.2;10;10.9;M
70.5;6.7;7.3;7.9;8.5;9.3;10.1;11.1;M
71;6.8;7.4;8;8.6;9.4;10.2;11.2;M
71.5;6.9;7.5;8.1;8.8;9.5;10.4;11.3;M
72;7;7.6;8.2;8.9;9.6;10.5;11.5;M
72.5;7.1;7.6;8.3;9;9.8;10.6;11.6;M
73;7.2;7.7;8.4;9.1;9.9;10.8;11.8;M
73.5;7.2;7.8;8.5;9.2;10;10.9;11.9;M
74;7.3;7.9;8.6;9.3;10.1;11;12.1;M
74.5;7.4;8;8.7;9.4;10.2;11.2;12.2;M
75;7.5;8.1;8.8;9.5;10.3;11.3;12.3;M
75.5;7.6;8.2;8.8;9.6;10.4;11.4;12.5;M
76;7.6;8.3;8.9;9.7;10.6;11.5;12.6;M
76.5;7.7;8.3;9;9.8;10.7;11.6;12.7;M
77;7.8;8.4;9.1;9.9;10.8;11.7;12.8;M
77.5;7.9;8.5;9.2;10;10.9;11.9;13;M
78;7.9;8.6;9.3;10.1;11;12;13.1;M
78.5;8;8.7;9.4;10.2;11.1;12.1;13.2;M
79;8.1;8.7;9.5;10.3;11.2;12.2;13.3;M
79.5;8.2;8.8;9.5;10.4;11.3;12.3;13.4;M
